0000008_A	00006259_a	0
0000008_A	00005689_a	1
0000008_A	00009531_a	2
0000008_A	00004936_a	3
0000008_A	00012545_a	4
0000008_A	00013353_a	5
0000008_A	00001331_a	6
0000008_A	00011796_a	7
0000008_A	00005215_a	8
0000008_A	00001300_a	9
0000008_A	00005225_a	10
0000008_A	00011832_a	11
0000008_A	00005233_a	12
0000008_A	00011819_a	13
0000008_A	00011818_a	14
0000008_A	00005345_a	15
0000008_A	00005343_a	16
0000008_A	00005268_a	17
0000008_A	00011806_a	18
0000008_A	00001305_a	19
0000008_A	00005321_a	20
0000008_A	00001284_a	21
0000719_A	00004805_a	0
0000719_A	00008447_a	1
0000719_A	00001225_a	2
0000719_A	00011872_a	3
0000719_A	00013303_a	4
0000719_A	00012113_a	5
0000719_A	00008498_a	6
0000719_A	00012781_a	7
0000719_A	00009152_a	8
0000719_A	00013733_a	9
0000719_A	00007739_a	10
0000719_A	00004039_a	11
0000719_A	00013768_a	12
0000719_A	00001588_a	13
0000719_A	00000801_a	14
0000719_A	00001168_a	15
0000719_A	00000420_a	16
0000719_A	00003595_a	17
0000719_A	00002883_a	18
0000719_A	00005298_a	19
0000719_A	00006259_a	20
0000719_A	00012398_a	21
0000720_A	00010889_a	0
0000720_A	00007467_a	1
0000720_A	00003962_a	2
0000720_A	00004766_a	3
0000720_A	00008600_a	4
0000720_A	00004745_a	5
0000720_A	00007912_a	6
0000720_A	00001761_a	7
0000720_A	00007175_a	8
0000720_A	00011389_a	9
0000720_A	00007767_a	10
0000720_A	00002993_a	11
0000720_A	00008132_a	12
0000720_A	00008303_a	13
0000720_A	00011907_a	14
0000720_A	00004337_a	15
0000720_A	00003140_a	16
0000720_A	00003551_a	17
0000720_A	00006199_a	18
0000720_A	00012717_a	19
0000720_A	00002977_a	20
0000720_A	00012260_a	21
0001355_A	00012287_a	0
0001355_A	00006627_a	1
0001355_A	00000990_a	2
0001355_A	00008092_a	3
0001355_A	00008108_a	4
0001355_A	00005458_a	5
0001355_A	00012635_a	6
0001355_A	00001093_a	7
0001355_A	00006732_a	8
0001355_A	00012828_a	9
0001355_A	00000440_a	10
0001355_A	00008312_a	11
0001355_A	00007283_a	12
0001355_A	00009373_a	13
0001355_A	00002332_a	14
0001355_A	00002012_a	15
0001355_A	00013534_a	16
0001355_A	00000321_a	17
0001355_A	00010231_a	18
0001355_A	00003753_a	19
0001355_A	00002424_a	20
0001355_A	00011010_a	21
0002685_A	00011625_a	0
0002685_A	00003845_a	1
0002685_A	00006674_a	2
0002685_A	00007602_a	3
0002685_A	00011905_a	4
0002685_A	00000830_a	5
0002685_A	00002322_a	6
0002685_A	00002916_a	7
0002685_A	00000599_a	8
0002685_A	00006581_a	9
0002685_A	00007919_a	10
0002685_A	00004804_a	11
0002685_A	00004982_a	12
0002685_A	00005854_a	13
0002685_A	00012716_a	14
0002685_A	00005376_a	15
0002685_A	00002002_a	16
0002685_A	00001097_a	17
0002685_A	00000220_a	18
0002685_A	00005798_a	19
0002685_A	00005029_a	20
0002685_A	00008482_a	21
0003680_A	00006558_a	0
0003680_A	00001935_a	1
0003680_A	00002996_a	2
0003680_A	00013087_a	3
0003680_A	00005244_a	4
0003680_A	00013506_a	5
0003680_A	00004015_a	6
0003680_A	00005997_a	7
0003680_A	00012754_a	8
0003680_A	00010941_a	9
0003680_A	00007851_a	10
0003680_A	00002796_a	11
0003680_A	00006796_a	12
0003680_A	00001253_a	13
0003680_A	00001536_a	14
0003680_A	00011911_a	15
0003680_A	00006742_a	16
0003680_A	00003738_a	17
0003680_A	00004153_a	18
0003680_A	00012215_a	19
0003680_A	00009459_a	20
0003680_A	00002436_a	21
0006140_A	00010573_a	0
0006140_A	00008108_a	1
0006140_A	00012635_a	2
0006140_A	00007797_a	3
0006140_A	00007885_a	4
0006140_A	00011563_a	5
0006140_A	00002096_a	6
0006140_A	00000755_a	7
0006140_A	00001093_a	8
0006140_A	00010079_a	9
0006140_A	00005458_a	10
0006140_A	00004154_a	11
0006140_A	00010164_a	12
0006140_A	00012828_a	13
0006140_A	00000440_a	14
0006140_A	00006732_a	15
0006140_A	00012213_a	16
0006140_A	00007370_a	17
0006140_A	00001137_a	18
0006140_A	00001865_a	19
0006140_A	00010258_a	20
0006140_A	00007283_a	21
0006748_A	00010867_a	0
0006748_A	00001429_a	1
0006748_A	00013047_a	2
0006748_A	00007397_a	3
0006748_A	00006250_a	4
0006748_A	00008829_a	5
0006748_A	00012736_a	6
0006748_A	00011073_a	7
0006748_A	00002447_a	8
0006748_A	00004809_a	9
0006748_A	00005514_a	10
0006748_A	00009240_a	11
0006748_A	00011893_a	12
0006748_A	00004677_a	13
0006748_A	00013218_a	14
0006748_A	00013551_a	15
0006748_A	00004336_a	16
0006748_A	00001587_a	17
0006748_A	00004039_a	18
0006748_A	00011374_a	19
0006748_A	00011456_a	20
0006748_A	00004660_a	21
0010222_A	00004602_a	0
0010222_A	00013047_a	1
0010222_A	00007174_a	2
0010222_A	00002983_a	3
0010222_A	00001508_a	4
0010222_A	00010175_a	5
0010222_A	00005709_a	6
0010222_A	00008780_a	7
0010222_A	00013303_a	8
